iter	Passed	Remaining
0	1	175
1	3	158
2	4	149
3	5	136
4	7	135
5	8	133
6	10	133
7	11	132
8	12	130
9	14	128
10	15	127
11	17	125
12	18	124
13	19	122
14	21	120
15	22	119
16	24	117
17	25	117
18	27	116
19	28	114
20	30	112
21	31	111
22	32	109
23	34	108
24	35	106
25	36	105
26	38	103
27	39	102
28	41	101
29	42	99
30	44	98
31	45	96
32	47	96
33	48	95
34	50	93
35	51	92
36	53	90
37	54	89
38	56	87
39	57	86
40	58	84
41	59	81
42	60	80
43	62	78
44	63	77
45	64	76
46	66	74
47	67	73
48	69	72
49	70	70
50	71	69
51	73	67
52	74	66
53	76	64
54	76	62
55	78	61
56	79	60
57	81	58
58	82	57
59	84	56
60	86	55
61	89	54
62	91	53
63	93	52
64	94	51
65	96	49
66	97	48
67	98	46
68	100	45
69	101	43
70	103	42
71	104	40
72	105	39
73	107	37
74	108	36
75	110	34
76	111	33
77	113	31
78	114	30
79	118	29
80	119	28
81	121	26
82	122	25
83	124	23
84	125	22
85	127	20
86	128	19
87	130	17
88	131	16
89	132	14
90	134	13
91	135	11
92	137	10
93	138	8
94	140	7
95	141	5
96	143	4
97	144	2
98	146	1
99	147	0
